seqName,errors,warnings,failedGenes
"NC_045512.2:21563-25384 S [organism=Severe acute respiratory syndrome coronavirus 2] [GeneID=43740568] [chromosome=]","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF3a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF3a;ORF6;ORF7a;ORF8;ORF9b"
"81B|S16","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"1B|S19","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"2B|S20","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"360C|S23","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"362C|S24","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF3a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF3a;ORF6;ORF7a;ORF8;ORF9b"
"7C|S28","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"219A|S3","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"376D|S31","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF3a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF3a;ORF6;ORF7a;ORF8;ORF9b"
"381D|S32","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF3a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF3a;ORF6;ORF7a;ORF8;ORF9b"
"476D|S35","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF3a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF3a;ORF6;ORF7a;ORF8;ORF9b"
"2D|S36","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF3a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF3a;ORF6;ORF7a;ORF8;ORF9b"
"29D|S37","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF3a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF3a;ORF6;ORF7a;ORF8;ORF9b"
"46D|S39","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF3a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF3a;ORF6;ORF7a;ORF8;ORF9b"
"28D|S40","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF3a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF3a;ORF6;ORF7a;ORF8;ORF9b"
"495E|S43","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF3a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF3a;ORF6;ORF7a;ORF8;ORF9b"
"501E|S44","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF3a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF3a;ORF6;ORF7a;ORF8;ORF9b"
"27E|S50","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF3a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF3a;ORF6;ORF7a;ORF8;ORF9b"
"144E|S53","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF3a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF3a;ORF6;ORF7a;ORF8;ORF9b"
"172E|S57","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"205E|S58","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF3a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF3a;ORF6;ORF7a;ORF8;ORF9b"
"369A|S6","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"346F|S66","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"134F|S67","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"99F|S70","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"16F|S74","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"64F|S75","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"68F|S76","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"117A|S8","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
